주제,설명,역할,영어,한글
"🛍️ [쇼핑] 사이즈 교환 (심화)","옷 가게에서 마음에 드는 옷을 입어보고 사이즈를 교환하는 상황입니다.","직원","Yes, we do. Just tap your phone here.","네, 받습니다. 여기에 휴대폰을 대주세요."
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","나","Excuse me, does this train go to Central Station?","실례합니다, 이 기차가 센트럴 역으로 가나요?"
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","행인","No, you need to take the blue line over there.","아니요, 저기서 파란색 노선을 타셔야 합니다."
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","나","I see. Do I need to transfer along the way?","그렇군요. 가다가 환승을 해야 하나요?"
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","행인","Yes, you should transfer at the City Hall station.","네, 시청역에서 갈아타셔야 해요."
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","나","How many stops is it from here?","여기서부터 몇 정거장이나 되나요?"
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","행인","It's about five stops. It will take 15 minutes.","다섯 정거장 정도 됩니다. 15분 걸릴 거예요."
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","나","Is there an elevator down to the platform?","승강장으로 내려가는 엘리베이터가 있나요?"
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","행인","Yes, it's just around the corner on your right.","네, 오른쪽 코너만 돌면 바로 있습니다."
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","나","Thank you so much for the detailed directions.","자세히 길을 알려주셔서 정말 감사합니다."
"🚇 [교통] 지하철 노선 묻기 (심화)","대중교통을 이용할 때 정확한 목적지 방향과 환승 방법을 안내받는 상황입니다.","행인","No problem. Safe travels!","천만에요. 조심히 가세요!"
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","의사","Hello. What seems to be the problem today?","안녕하세요. 오늘 어디가 불편해서 오셨나요?"
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","나","I've had a terrible stomachache since last night.","어젯밤부터 배가 너무 심하게 아픕니다."
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","의사","Do you have any other symptoms like a fever?","열이 나는 등 다른 증상은 없으신가요?"
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","나","Yes, I also feel a bit nauseous.","네, 속도 조금 메스꺼운 것 같아요."
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","의사","Let me take your temperature. It's slightly high.","체온을 재보겠습니다. 열이 약간 높네요."
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","나","Is it something serious? I'm worried.","심각한 건가요? 걱정되네요."
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","의사","It looks like food poisoning. Did you eat anything unusual?","식중독 같습니다. 평소와 다른 음식을 드셨나요?"
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","나","I had some seafood at a night market yesterday.","어제 야시장에서 해산물을 좀 먹었어요."
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","의사","That might be it. I'll prescribe some medicine for you.","그게 원인일 수 있습니다. 약을 처방해 드릴게요."
"🏥 [병원] 증상 설명 (심화)","해외에서 병원에 방문하여 의사에게 아픈 증상과 기간을 구체적으로 설명합니다.","나","Thank you, doctor. I'll get it at the pharmacy.","감사합니다, 선생님. 약국에서 받을게요."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","나","Hello, I'd like to get something for a headache.","안녕하세요, 두통약을 좀 사고 싶습니다."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","약사","How long have you had the headache?","두통이 얼마나 지속되었나요?"
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","나","Since this morning. It's throbbing.","오늘 아침부터요. 욱신거립니다."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","약사","I recommend these painkillers. They work very fast.","이 진통제를 추천합니다. 효과가 아주 빠릅니다."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","나","How often should I take these pills?","이 약을 얼마나 자주 먹어야 하나요?"
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","약사","Take two pills every six hours with plenty of water.","6시간마다 물을 충분히 마시면서 두 알씩 드세요."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","나","Should I take them before or after meals?","식전에 먹나요, 식후에 먹나요?"
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","약사","Please take them about 30 minutes after meals.","식사 후 약 30분 뒤에 복용해 주세요."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","나","Okay, I understand. I'll also take some band-aids.","네, 알겠습니다. 밴드도 조금 같이 살게요."
"💊 [약국] 약 구매 및 복용법 (심화)","약국에서 증상에 맞는 약을 추천받고 올바른 복용 방법을 묻는 상황입니다.","약사","That will be 15 dollars in total. Get well soon.","총 15달러입니다. 얼른 쾌차하세요."
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","나","Excuse me, I need some help. I lost my wallet.","실례합니다, 도움이 필요해요. 지갑을 잃어버렸습니다."
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","경찰","Calm down, sir. Where did you last see it?","진정하세요. 마지막으로 본 곳이 어디인가요?"
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","나","I think I left it at the cafe across the street.","길 건너편 카페에 두고 온 것 같습니다."
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","경찰","What does your wallet look like?","지갑이 어떻게 생겼나요?"
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","나","It's a black leather wallet with my ID inside.","검은색 가죽 지갑이고 안에 제 신분증이 있습니다."
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","경찰","Did you have any credit cards or cash in it?","안에 신용카드나 현금이 있었나요?"
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","나","Yes, about 100 dollars and two credit cards.","네, 약 100달러와 신용카드 두 장이 있었습니다."
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","경찰","You should cancel your credit cards right away.","신용카드부터 당장 정지시키셔야 합니다."
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","나","Could you give me the police report for insurance?","보험 처리를 위해 경찰 신고 서류를 주실 수 있나요?"
"🚨 [비상] 분실 신고 (심화)","관광지나 식당에서 소지품을 잃어버려 경찰서나 분실물 센터에 신고하는 상황입니다.","경찰","Sure. Please fill out this form first.","물론입니다. 먼저 이 양식을 작성해 주세요."
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","나","Hi, John. Can we schedule a meeting for next week?","안녕하세요 존. 다음 주에 미팅 일정을 잡을 수 있을까요?"
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","동료","Sure. What day works best for you?","물론이죠. 무슨 요일이 가장 좋으신가요?"
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","나","I'm available on Tuesday or Wednesday afternoon.","저는 화요일이나 수요일 오후가 가능합니다."
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","동료","I'm fully booked on Tuesday. How about Wednesday at 2 PM?","화요일은 일정이 꽉 찼네요. 수요일 오후 2시는 어떠세요?"
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","나","Wednesday at 2 PM sounds perfect.","수요일 오후 2시 완벽합니다."
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","동료","Great. Should we meet in the main conference room?","좋습니다. 메인 회의실에서 만날까요?"
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","나","Actually, can we do a Zoom meeting instead?","실은, 대신 줌(Zoom) 화상 회의로 할 수 있을까요?"
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","동료","No problem. I will send you the calendar invite.","문제없습니다. 제가 캘린더 초대장을 보내드릴게요."
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","나","Thanks. I will prepare the presentation slides.","감사합니다. 제가 발표 자료를 준비하겠습니다."
"🏢 [오피스] 일정 조율 (심화)","해외 파트너 또는 동료와 미팅 날짜와 시간을 조율하는 비즈니스 상황입니다.","동료","Looking forward to it. See you then.","기대하고 있겠습니다. 그때 뵙죠."
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","나","Hello, may I speak to Mr. Davis, please?","안녕하세요, 데이비스 씨와 통화할 수 있을까요?"
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","비서","I'm sorry, he is not at his desk right now.","죄송하지만, 지금 자리에 안 계십니다."
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","나","Do you know when he will be back?","언제쯤 돌아오시는지 아시나요?"
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","비서","He should be back in an hour. Would you like to leave a message?","한 시간 뒤면 오실 겁니다. 메시지를 남겨드릴까요?"
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","나","Yes, please. Tell him that Alex called regarding the contract.","네, 부탁합니다. 알렉스가 계약 건으로 전화했다고 전해주세요."
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","비서","Okay. Can I have your phone number, just in case?","알겠습니다. 혹시 모르니 전화번호를 알 수 있을까요?"
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","나","Sure. It's 555-1234.","네. 555-1234입니다."
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","비서","Got it. I'll make sure he gets the message.","확인했습니다. 이 메시지를 꼭 전달하겠습니다."
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","나","Thank you for your assistance. Have a good day.","도와주셔서 감사합니다. 좋은 하루 보내세요."
"📞 [전화] 메시지 남기기 (심화)","담당자가 부재중일 때 전화를 걸어 용건과 연락처를 명확하게 남기는 상황입니다.","비서","You're welcome. Goodbye.","천만에요. 안녕히 계세요."
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","직원","Hi there. Are you ready to order?","안녕하세요. 주문하시겠습니까?"
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","나","Yes. I'll have a cheeseburger combo, please.","네. 치즈버거 세트로 부탁합니다."
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","직원","What kind of drink would you like with that?","음료는 어떤 걸로 하시겠어요?"
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","나","Can I get a Sprite instead of Coke?","콜라 대신 스프라이트로 받을 수 있나요?"
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","직원","Sure. Would you like to upsize your fries for 1 dollar?","그럼요. 1달러를 추가해서 감자튀김 사이즈를 업그레이드하시겠어요?"
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","나","No, thanks. But can I change the fries to onion rings?","아니요, 괜찮습니다. 대신 감자튀김을 양파링으로 바꿀 수 있나요?"
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","직원","Yes, that will be a 50-cent extra charge.","네, 그렇게 하시면 50센트가 추가됩니다."
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","나","That's fine. And please don't put pickles in the burger.","괜찮습니다. 그리고 버거에 피클은 빼주세요."
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","직원","No pickles, got it. Your total is 9 dollars.","피클 빼고, 알겠습니다. 총 9달러입니다."
"🍔 [패스트푸드] 세트 주문 (심화)","버거 가게에서 세트 메뉴를 주문하고 사이드 메뉴와 음료를 변경하는 실용적인 상황입니다.","나","Here's a 10-dollar bill. Keep the change.","여기 10달러 지폐입니다. 잔돈은 가지세요."
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","직원","Welcome to the AMC Theater. How can I help you?","AMC 극장에 오신 것을 환영합니다. 무엇을 도와드릴까요?"
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","나","I'd like two tickets for the new action movie, please.","새로 나온 액션 영화 티켓 두 장 주세요."
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","직원","We have showings at 5 PM and 7:30 PM. Which one?","오후 5시와 7시 30분 상영이 있습니다. 어떤 걸로 하시겠어요?"
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","나","The 7:30 PM showing, please.","오후 7시 30분 상영으로 할게요."
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","직원","Where would you like to sit? Front, middle, or back?","어디에 앉으시겠어요? 앞, 중간, 아니면 뒤쪽이요?"
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","나","Middle rows, center seats if possible.","가능하다면 중간 줄의 가운데 좌석이요."
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","직원","Rows G and H are available. I'll put you in row G.","G열과 H열이 가능합니다. G열로 해드릴게요."
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","나","Perfect. Can I also get a large popcorn combo?","완벽하네요. 라지 팝콘 콤보도 하나 주시겠어요?"
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","직원","Sure thing. Sweet or salty popcorn?","물론이죠. 달콤한 팝콘과 짭짤한 팝콘 중 어떤 걸로요?"
"🎬 [문화] 영화 예매 (심화)","영화관에서 상영 시간을 확인하고 좌석을 지정하여 티켓을 발권하는 대화입니다.","나","Half and half, please. Thank you.","반반으로 해주세요. 감사합니다."
